fips,to_wtotl,ps_wtotl,cluster_model3,color
36005,0.02,0.0,26,red
36061,229.49,0.0,26,red
36005,0.02,0.0,26,red
44001,0.27,0.01,4,red
25007,4.64,3.07,4,red
36063,298.5,49.46,36,red
36117,447.93,7.84,13,red
36075,1096.42,34.87,46,purple
36073,5.17,1.64,4,red
36055,84.3,53.54,11,red
23013,14.75,3.02,4,red
23023,2.68,1.41,4,red
23015,1.9,0.73,4,red
33013,87.53,8.26,21,red
34039,143.06,141.52,44,red
42051,51.67,45.89,17,red
42129,32.03,24.18,39,red
25017,149.4,70.26,5,red
9009,168.79,54.49,11,red
9005,24.39,10.18,31,red
25027,268.91,251.64,41,orange
25003,27.74,14.33,31,red
25011,11.63,3.73,4,red
25015,26.36,18.09,31,red
25021,40.52,35.88,11,red
23021,1.68,0.88,4,red
23025,53.7,1.82,21,red
23003,24.64,4.11,4,red
23017,43.35,2.85,4,red
23019,28.3,4.79,4,red
33003,6.88,3.45,4,red
33011,53.95,38.74,39,red
34031,275.2,270.78,41,orange
36119,2189.34,65.43,14,purple
36115,33.91,2.59,4,red
36113,39.03,11.56,31,red
36035,7.2,5.46,4,red
36031,23.13,5.45,4,red
36019,8.92,4.93,4,red
36033,11.31,3.83,4,red
36011,8.72,5.43,31,red
36065,54.32,32.82,39,red
36043,34.37,28.84,39,red
36093,34.23,23.51,39,red
36001,58.92,45.78,11,red
36039,5.87,3.07,4,red
36111,419.17,394.23,7,orange
36027,55.83,18.97,39,red
36021,6.55,2.97,4,red
36083,32.15,21.61,39,red
36091,53.37,26.12,39,red
36089,31.05,6.95,31,red
42027,40.9,17.87,39,red
42081,13.24,8.78,31,red
42127,5.78,2.38,4,red
42049,47.94,33.34,39,red
42035,15.85,4.02,4,red
44007,310.05,80.06,45,red
44009,22.15,9.15,31,red
50007,18.07,13.89,31,red
50001,7.84,3.45,4,red
50021,14.45,4.37,4,red
50025,4.4,2.1,4,red
50011,7.06,3.0,4,red
25009,132.05,77.15,45,red
25023,561.35,68.09,25,red
25013,51.16,45.38,11,red
44003,2.22,1.04,0,red
33015,721.56,15.35,12,purple
34039,143.06,141.52,44,red
23031,24.41,15.33,31,red
23005,115.79,25.35,39,red
23007,42.96,1.36,4,red
34003,133.95,127.42,40,orange
9011,2111.04,8.11,47,purple
25025,0.75,0.0,0,red
23027,5.12,0.99,4,red
23009,73.66,6.69,21,red
36059,473.72,194.47,32,orange
34013,33.6,31.22,33,red
25001,72.62,31.84,39,red
23011,12.31,6.15,4,red
9007,68.57,7.31,21,red
9001,457.77,87.98,25,red
33007,13.3,4.2,4,red
50005,5.09,1.77,4,red
21151,12.83,11.42,31,red
21153,1.02,0.78,4,red
21155,5.21,4.13,4,red
21157,19.64,4.1,4,red
21159,5.2,4.45,4,red
21161,11.38,2.73,4,red
21163,10.82,0.75,4,red
21165,1.35,1.08,4,red
21167,8.82,2.94,4,red
21169,0.77,0.0,4,red
21171,2.47,1.41,4,red
21173,3.46,3.0,4,red
21175,1.55,1.0,4,red
21177,404.9,3.47,13,red
21179,8.39,5.5,4,red
21181,2.09,1.71,4,red
21183,10.62,2.62,4,red
21185,8.63,3.93,4,red
21187,0.64,0.0,4,red
21189,0.62,0.53,4,red
21191,2.33,0.97,4,red
21193,6.78,4.18,4,red
21195,9.31,6.09,4,red
21197,1.65,1.45,4,red
21199,104.22,7.56,21,red
21201,0.13,0.0,4,red
21203,2.23,1.95,4,red
21205,6.28,6.03,4,red
21207,20.87,2.01,4,red
21209,4.25,2.89,4,red
21211,4.39,2.93,4,red
21213,1.94,1.65,4,red
21215,0.42,0.0,4,red
21217,5.89,5.2,4,red
21219,1.55,0.0,4,red
21221,3.03,2.09,4,red
21223,12.81,2.75,4,red
21225,8.3,1.87,4,red
21227,19.43,17.47,31,red
21229,2.05,1.17,4,red
21231,3.62,2.76,4,red
21233,8.48,2.02,4,red
21235,6.56,4.84,4,red
21237,0.71,0.47,4,red
21239,3.73,3.12,4,red
21129,1.04,0.95,4,red
21075,2.42,1.18,4,red
21001,0.97,0.0,4,red
21003,2.03,0.95,4,red
21005,2.86,2.21,4,red
21007,25.71,0.58,4,red
21009,9.83,7.76,31,red
21011,5.98,0.0,4,red
21013,4.86,3.83,4,red
21015,18.69,0.04,4,red
21017,3.56,2.1,4,red
