year,FIPS,normal_wet,abnormally_dry,moderate_drought,severe_drought,extreme_drought,exceptional_drought
2000,12071,22.69,77.31,59.64,36.44,0.02,0.0
2000,12073,0.0,100.0,99.61,77.22,31.0,15.28
2000,12075,0.0,100.0,97.97,71.65,38.55,1.15
2000,12077,0.0,100.0,93.06,71.07,31.4,22.72
2000,12079,0.0,100.0,99.07,64.94,19.14,4.67
2000,12081,15.55,84.45,72.94,60.64,23.57,0.02
2000,12083,0.0,100.0,89.91,69.9,30.42,2.66
2000,12085,22.83,77.17,26.82,8.73,0.0,0.0
2000,12086,67.16,32.84,3.11,0.0,0.0,0.0
2000,12087,0.0,0.0,0.0,0.0,0.0,0.0
2000,12089,11.21,88.79,64.29,41.0,3.07,0.0
2000,12091,0.0,100.0,79.54,60.69,42.82,17.31
2000,12093,16.58,83.42,66.79,38.15,3.93,0.0
2000,12095,3.42,96.58,84.58,66.53,25.91,7.22
2000,12097,11.7,88.3,82.1,59.96,17.32,2.6
2000,12099,33.15,66.85,18.95,3.48,0.0,0.0
2000,12101,0.0,100.0,84.62,67.1,37.56,6.07
2000,12103,4.09,95.91,81.02,62.97,32.31,4.35
2000,12105,11.78,88.22,83.6,63.12,27.07,4.41
2000,12107,0.0,100.0,88.85,63.51,11.17,0.0
2000,12109,0.32,99.68,77.43,45.91,1.92,0.0
2000,12111,17.4,82.6,38.96,17.29,0.0,0.0
2000,12113,0.0,100.0,80.0,64.01,43.52,17.59
2000,12115,20.45,79.55,66.09,55.43,15.99,0.0
2000,12117,0.8,99.2,84.62,65.76,23.26,7.69
2000,12119,0.0,100.0,84.62,71.81,35.27,7.33
2000,12121,0.0,100.0,98.82,62.48,14.98,0.02
2000,12123,0.0,100.0,100.0,62.6,28.86,5.97
2000,12125,0.0,100.0,89.03,63.89,11.41,0.0
2000,12127,0.71,99.29,76.65,57.07,12.33,2.01
2000,12129,0.0,100.0,97.12,69.67,30.64,19.63
2000,12131,0.0,100.0,80.54,57.49,41.29,23.39
2000,12133,0.0,100.0,87.19,60.64,40.38,25.0
2000,13001,0.8,99.2,87.66,52.0,10.19,1.26
2000,13003,8.16,91.84,82.71,58.33,8.9,2.42
2000,13005,4.01,95.99,85.88,53.88,8.53,0.52
2000,13007,0.0,100.0,100.0,92.13,25.3,9.05
2000,13009,0.0,100.0,100.0,76.79,38.46,15.41
2000,13011,0.0,100.0,100.0,63.22,28.48,2.53
2000,13013,0.0,100.0,100.0,69.37,32.97,4.59
2000,13015,0.0,100.0,100.0,68.87,27.04,0.87
2000,13017,0.0,100.0,92.68,81.9,22.49,7.68
2000,13019,7.36,92.64,84.62,64.3,16.84,5.71
2000,13021,0.0,100.0,100.0,87.23,39.95,11.87
2000,13023,0.0,100.0,100.0,84.17,39.47,11.47
