,STATE,COUNTYNAME,FIPS,LON,LAT
129,PA,Blair,42013,-78.3486,40.4813
130,PA,Bradford,42015,-76.5157,41.7886
131,PA,Butler,42019,-79.913,40.9117
132,PA,Cambria,42021,-78.7136,40.4954
133,PA,Cameron,42023,-78.2038,41.4368
134,PA,Clarion,42031,-79.421,41.1925
135,PA,Clearfield,42033,-78.4741,41.0002
136,PA,Columbia,42037,-76.4052,41.0486
137,PA,Crawford,42039,-80.1063,41.6848
138,PA,Cumberland,42041,-77.2651,40.1637
139,PA,Dauphin,42043,-76.7793,40.4155
140,PA,Elk,42047,-78.6492,41.4252
141,PA,Forest,42053,-79.2361,41.5132
142,PA,Franklin,42055,-77.7212,39.9275
143,PA,Fulton,42057,-78.1124,39.9255
144,PA,Greene,42059,-80.2229,39.8538
145,PA,Huntingdon,42061,-77.9812,40.417
146,PA,Indiana,42063,-79.0875,40.6521
147,PA,Jefferson,42065,-78.9995,41.1281
148,PA,Juniata,42067,-77.402,40.5311
149,PA,Lackawanna,42069,-75.6092,41.437
150,PA,Lancaster,42071,-76.2477,40.0424
151,PA,Lawrence,42073,-80.3342,40.9912
152,PA,Lebanon,42075,-76.4577,40.3672
153,PA,Luzerne,42079,-75.9889,41.1771
154,PA,McKean,42083,-78.569,41.8078
155,PA,Mercer,42085,-80.2577,41.3022
156,PA,Mifflin,42087,-77.6171,40.6104
157,PA,Montour,42093,-76.6586,41.028
158,PA,Perry,42099,-77.2622,40.3984
159,PA,Pike,42103,-75.0338,41.3321
160,PA,Potter,42105,-77.8958,41.745
161,PA,Schuylkill,42107,-76.216,40.7059
162,PA,Snyder,42109,-77.0701,40.77
163,PA,Somerset,42111,-79.0283,39.9725
164,PA,Sullivan,42113,-76.5119,41.446
165,PA,Susquehanna,42115,-75.8008,41.8214
166,PA,Tioga,42117,-77.2543,41.7721
167,PA,Union,42119,-77.0621,40.963
168,PA,Venango,42121,-79.758,41.401
169,PA,Warren,42123,-79.2741,41.8147
170,PA,Washington,42125,-80.2482,40.1894
171,PA,Wyoming,42131,-76.0165,41.5184
172,PA,York,42133,-76.7265,39.9199
173,RI,Newport,44005,-71.2366,41.556
174,VA,Patrick,51141,-80.2843,36.6784
175,VA,Pittsylvania,51143,-79.3971,36.8213
176,VA,Pulaski,51155,-80.7143,37.0636
177,VA,Roanoke,51161,-80.0679,37.2693
178,VA,Rockbridge,51163,-79.4475,37.8146
179,VA,Russell,51167,-82.0956,36.9338
180,VA,Scott,51169,-82.603,36.7142
181,VA,Smyth,51173,-81.537,36.8439
182,VA,Tazewell,51185,-81.5606,37.125
183,VA,Washington,51191,-81.9596,36.7245
184,VA,Wise,51195,-82.6212,36.9752
185,VA,Wythe,51197,-81.0786,36.9171
186,VA,Alleghany,51005,-80.007,37.7876
187,VA,Carroll,51035,-80.7339,36.7316
188,VA,Campbell,51031,-79.0963,37.2056
189,VA,Henry,51089,-79.8739,36.6828
190,VA,Montgomery,51121,-80.3869,37.174
191,VA,Halifax,51083,-78.9367,36.767
192,VA,Grayson,51077,-81.225,36.6566
193,VA,Giles,51071,-80.7037,37.3141
194,VA,Franklin,51067,-79.881,36.9919
195,VA,Floyd,51063,-80.3626,36.9315
196,VA,Dickenson,51051,-82.3503,37.1258
197,VA,Craig,51045,-80.2123,37.4813
198,VA,Charlotte,51037,-78.6616,37.0116
199,VA,Buckingham,51029,-78.5287,37.5722
200,VA,Buchanan,51027,-82.036,37.2666
201,VA,Botetourt,51023,-79.8123,37.5571
202,VA,Bland,51021,-81.1302,37.134
203,VA,Bedford,51019,-79.5242,37.3152
204,VA,Bath,51017,-79.7411,38.0587
205,VA,Appomattox,51011,-78.8121,37.3722
