fips,ps_wtotl,do_psdel,state,cluster_model1,color
54021,0.64,0.3,WV,278,red
54019,5.37,3.01,WV,231,red
54015,0.4,0.28,WV,278,red
54013,0.32,0.26,WV,111,red
54011,12.17,6.41,WV,33,red
54009,5.21,1.75,WV,101,red
54007,1.09,0.7,WV,15,red
54005,0.19,1.19,WV,217,red
54103,1.78,0.98,WV,179,red
54105,0.0,0.1,WV,111,red
54107,7.97,6.67,WV,283,red
54109,1.82,1.21,WV,166,red
54001,1.45,1.1,WV,170,red
54091,1.82,1.1,WV,179,red
54101,0.49,0.45,WV,278,red
54099,2.91,2.57,WV,282,red
54097,2.11,1.34,WV,166,red
54095,0.57,0.56,WV,15,red
54093,0.61,0.3,WV,278,red
54089,2.49,0.53,WV,258,red
54087,0.85,0.67,WV,15,red
54085,0.48,0.49,WV,278,red
42097,11.05,3.88,PA,143,red
23001,7.92,3.45,ME,277,red
34017,0.0,53.91,NJ,188,red
36085,0.0,32.74,NY,173,red
34013,31.22,63.44,NJ,147,purple
36085,0.0,32.74,NY,173,red
34017,0.0,53.91,NJ,188,red
34003,127.42,73.0,NJ,21,purple
36119,65.43,70.01,NY,80,purple
36005,0.0,93.15,NY,75,purple
36061,0.0,126.63,NY,55,purple
36005,0.0,93.15,NY,75,purple
44001,0.01,2.31,RI,103,red
25007,3.07,0.82,MA,290,red
36063,49.46,8.42,NY,96,red
36117,7.84,5.15,NY,242,red
36075,34.87,6.17,NY,227,red
36073,1.64,2.26,NY,250,red
36055,53.54,38.13,NY,251,purple
23013,3.02,0.85,ME,290,red
23023,1.41,0.6,ME,276,red
23015,0.73,0.41,ME,278,red
33013,8.26,4.19,NH,277,red
34039,141.52,44.3,NJ,12,purple
42051,45.89,5.98,PA,142,red
42129,24.18,16.11,PA,205,red
25017,70.26,85.18,MA,36,purple
9009,54.49,20.98,CT,214,red
9005,10.18,3.64,CT,143,red
25027,251.64,34.92,MA,25,purple
25003,14.33,5.94,MA,115,red
25011,3.73,2.28,MA,155,red
25015,18.09,7.16,MA,259,red
25021,35.88,38.51,MA,197,purple
23021,0.88,0.3,ME,278,red
23025,1.82,0.73,ME,243,red
23003,4.11,1.16,ME,289,red
23017,2.85,1.02,ME,290,red
23019,4.79,3.49,ME,235,red
33003,3.45,1.74,NH,162,red
33011,38.74,18.16,NH,113,red
34031,270.78,37.64,NJ,107,purple
36119,65.43,70.01,NY,80,purple
36115,2.59,2.31,NY,282,red
36113,11.56,3.86,NY,143,red
36035,5.46,2.82,NY,231,red
36031,5.45,2.54,NY,231,red
36019,4.93,4.03,NY,299,red
36033,3.83,2.85,NY,234,red
36011,5.43,4.58,NY,299,red
36065,32.82,9.6,NY,237,red
36043,28.84,3.65,NY,171,red
36093,23.51,11.23,NY,298,red
36001,45.78,20.08,NY,221,red
36039,3.07,1.96,NY,122,red
36111,394.23,7.95,NY,138,green
36027,18.97,11.29,NY,18,red
36021,2.97,2.87,NY,234,red
36083,21.61,7.09,NY,240,red
36091,26.12,12.01,NY,298,red
36089,6.95,5.18,NY,242,red
42027,17.87,10.77,PA,18,red
42081,8.78,4.17,PA,135,red
42127,2.38,1.17,PA,52,red
42049,33.34,11.89,PA,53,red
42035,4.02,1.53,PA,162,red
44007,80.06,33.17,RI,71,purple
44009,9.15,5.58,RI,90,red
50007,13.89,5.37,VT,115,red
50001,3.45,0.6,VT,258,red
50021,4.37,1.63,VT,162,red
50025,2.1,0.83,VT,179,red
50011,3.0,1.21,VT,290,red
25009,77.15,41.92,MA,292,purple
25023,68.09,26.76,MA,48,purple
25013,45.38,25.57,MA,254,red
44003,1.04,11.87,RI,165,red
33015,15.35,10.58,NH,256,red
34039,141.52,44.3,NJ,12,purple
23031,15.33,7.2,ME,192,red
23005,25.35,11.25,ME,298,red
23007,1.36,0.68,ME,170,red
34003,127.42,73.0,NJ,21,purple
9011,8.11,6.61,CT,283,red
25025,0.0,32.68,MA,173,red
23027,0.99,0.37,ME,276,red
23009,6.69,0.69,ME,149,red
36059,194.47,102.1,NY,152,purple
34013,31.22,63.44,NJ,147,purple
25001,31.84,14.95,MA,222,red
23011,6.15,2.73,ME,231,red
9007,7.31,3.16,CT,163,red
9001,87.98,29.98,CT,267,purple
33007,4.2,1.29,NH,289,red
50005,1.77,0.65,VT,243,red
21151,11.42,5.71,KY,213,red
21153,0.78,0.68,KY,15,red
21155,4.13,1.29,KY,289,red
21157,4.1,1.89,KY,162,red
21159,4.45,0.67,KY,289,red
21161,2.73,1.05,KY,290,red
21163,0.75,1.19,KY,293,red
21165,1.08,0.31,KY,276,red
21167,2.94,1.41,KY,290,red
21169,0.0,0.52,KY,217,red
21171,1.41,0.74,KY,170,red
21173,3.0,1.84,KY,122,red
21175,1.0,0.43,KY,276,red
21177,3.47,2.0,KY,162,red
21179,5.5,2.92,KY,231,red
21181,1.71,0.46,KY,243,red
21183,2.62,1.56,KY,52,red
21185,3.93,4.22,KY,235,red
21187,0.0,0.64,KY,217,red
21189,0.53,0.24,KY,278,red
21191,0.97,0.8,KY,15,red
21193,4.18,1.53,KY,162,red
21195,6.09,3.01,KY,231,red
21197,1.45,0.65,KY,243,red
21199,7.56,4.0,KY,277,red
21201,0.0,0.11,KY,111,red
21203,1.95,1.13,KY,179,red
21205,6.03,1.47,KY,101,red
21207,2.01,0.97,KY,179,red
21209,2.89,3.36,KY,234,red
21211,2.93,2.97,KY,234,red
21213,1.65,1.22,KY,166,red
21215,0.0,1.16,KY,217,red
21217,5.2,1.55,KY,101,red
21219,0.0,0.87,KY,217,red
21221,2.09,0.95,KY,179,red
21223,2.75,0.55,KY,258,red
21225,1.87,0.95,KY,179,red
21227,17.47,8.5,KY,160,red
21229,1.17,0.55,KY,276,red
21231,2.76,1.13,KY,290,red
21233,2.02,0.81,KY,179,red
21235,4.84,2.03,KY,225,red
21237,0.47,0.24,KY,278,red
21239,3.12,1.71,KY,162,red
21129,0.95,0.39,KY,276,red
21075,1.18,0.42,KY,276,red
21001,0.0,1.23,KY,217,red
21003,0.95,1.18,KY,170,red
21005,2.21,1.22,KY,52,red
21007,0.58,0.32,KY,278,red
21009,7.76,2.71,KY,163,red
21011,0.0,0.69,KY,217,red
21013,3.83,1.5,KY,162,red
21015,0.04,7.13,KY,275,red
21017,2.1,1.22,KY,166,red
21019,11.09,3.29,KY,143,red
21021,5.58,1.97,KY,101,red
21023,0.65,0.48,KY,278,red
21025,1.41,0.58,KY,276,red
21027,1.8,0.75,KY,243,red
21029,0.0,4.45,KY,296,red
